Time	Lead II
4.42	-0.109566
4.43	-0.109656
4.44	0.00773212
4.45	0.306013
4.46	0.660185
4.47	0.753194
4.48	0.491005
4.49	0.193828
4.5	-0.0108051
4.51	-0.103525
4.52	-0.109726
4.53	-0.129315
4.54	-0.110746
4.55	-0.111516
4.56	-0.116547
4.57	-0.0967557
4.58	-0.116226
4.59	-0.0899556
4.6	-0.0738925
4.61	-0.0728029
4.62	-0.0455939
4.63	-0.0455616
4.64	-0.015022
4.65	0.00291657
4.66	0.0253886
4.67	0.0676583
4.68	0.0672635
4.69	0.0936024
4.7	0.102018
4.71	0.103791
4.72	0.119046
4.73	0.0824361
4.74	0.068814
4.75	0.032613
4.76	-0.00834402
4.77	-0.00886516
4.78	-0.0333512
4.79	-0.0266269
4.8	-0.0420532
4.81	-0.0560312
4.82	-0.0356
4.83	-0.0511739
4.84	-0.0302114
4.85	-0.028678
4.86	-0.0365116
4.87	-0.019405
4.88	-0.0419923
4.89	-0.0357923
4.9	-0.0411112
4.91	-0.0552945
4.92	-0.0461134
4.93	-0.0701857
4.94	-0.0590062
4.95	-0.0652773
4.96	-0.0766986
4.97	-0.0580255
4.98	-0.0807829
4.99	-0.0704794
5	-0.0774622
5.01	-0.0855851
5.02	-0.0683934
5.03	-0.0860912
5.04	-0.0642724
5.05	-0.0616477
5.06	-0.0620434
5.07	-0.0334084
5.08	-0.0379253
5.09	-0.00606501
5.1	0.00209329
5.11	-0.0101875
5.12	-0.0156941
5.13	-0.0657902
5.14	-0.0780255
5.15	-0.0990214
5.16	-0.108646
5.17	-0.0898952
5.18	-0.09981
5.19	-0.0141854
5.2	0.23537
5.21	0.603915
5.22	0.766697
5.23	0.548711
5.24	0.246549
5.25	0.0276043
5.26	-0.0730003
5.27	-0.0843678
5.28	-0.108549
5.29	-0.098002
5.3	-0.108213
5.31	-0.110158
5.32	-0.0799152
5.33	-0.0891389
5.34	-0.0662166
5.35	-0.0623191
5.36	-0.0654143
5.37	-0.0339829
5.38	-0.0343658
5.39	-0.00210385
5.4	0.0168965
5.41	0.0348331
5.42	0.075388
5.43	0.0771668
5.44	0.11619
5.45	0.120177
5.46	0.108421
5.47	0.122198
5.48	0.0862078
5.49	0.0692763
5.5	0.0338316
5.51	0.00392479
5.52	-0.00505937
5.53	-0.0382403
5.54	-0.029247
5.55	-0.0415146
5.56	-0.0559632
5.57	-0.0333259
5.58	-0.0441899
5.59	-0.0217126
5.6	-0.0198809
5.61	-0.021985
5.62	-0.00666568
5.63	-0.0344545
5.64	-0.028575
5.65	-0.0350034
5.66	-0.0442977
5.67	-0.0321534
5.68	-0.0550719
5.69	-0.0466687
5.7	-0.0598242
5.71	-0.0749915
5.72	-0.0557268
5.73	-0.0713703
5.74	-0.0571835
5.75	-0.0650739
5.76	-0.0752202
5.77	-0.065587
5.78	-0.0806824
5.79	-0.0430895
5.8	-0.0335501
5.81	-0.0348583
5.82	-0.00420078
5.83	-0.00917929
5.84	0.000170834
5.85	-0.0287697
5.86	-0.0600194
5.87	-0.0648004
5.88	-0.0976581
5.89	-0.0898055
5.9	-0.10476
5.91	-0.111004
5.92	-0.051077
5.93	0.102565
5.94	0.479093
5.95	0.752959
5.96	0.677336
5.97	0.390022
5.98	0.0898344
5.99	-0.0395212
6	-0.0891792
6.01	-0.105625
6.02	-0.0908277
6.03	-0.102926
6.04	-0.0845664
6.05	-0.0819095
6.06	-0.0808587
6.07	-0.0618243
6.08	-0.0786596
6.09	-0.0616941
6.1	-0.0525902
6.11	-0.0309393
6.12	0.00499342
6.13	0.00180399
6.14	0.0353924
6.15	0.0524909
6.16	0.070794
6.17	0.1031
6.18	0.0938798
6.19	0.123789
6.2	0.123327
6.21	0.101571
6.22	0.0860551
6.23	0.0342323
6.24	0.0168282
6.25	-0.0113409
6.26	-0.0296926
6.27	-0.0238648
6.28	-0.0498338
6.29	-0.0414972
6.3	-0.0463469
6.31	-0.0450243
6.32	-0.0227188
6.33	-0.0404449
6.34	-0.0257575
6.35	-0.0307317
6.36	-0.0407931
6.37	-0.0308137
6.38	-0.0506393
6.39	-0.0377276
6.4	-0.0561849
6.41	-0.0693977
6.42	-0.0583468
6.43	-0.0855514
6.44	-0.0717908
6.45	-0.0761405
6.46	-0.0807124
6.47	-0.0697042
6.48	-0.0895142
6.49	-0.0729461
6.5	-0.0865877
6.51	-0.091706
6.52	-0.0704832
6.53	-0.0820487
6.54	-0.0541011
6.55	-0.0581674
6.56	-0.0578864
6.57	-0.026284
6.58	-0.0290397
6.59	-0.0140671
6.6	-0.0439698
6.61	-0.0783024
6.62	-0.0876633
6.63	-0.127111
6.64	-0.122688
6.65	-0.125192
6.66	-0.105516
6.67	-0.022127
6.68	0.188015
6.69	0.591599
6.7	0.784173
6.71	0.608827
6.72	0.300482
6.73	0.034472
6.74	-0.0652339
6.75	-0.111228
6.76	-0.127058
6.77	-0.11326
6.78	-0.127162
6.79	-0.0997062
6.8	-0.0991709
6.81	-0.103059
6.82	-0.0803583
6.83	-0.0884104
6.84	-0.0616947
6.85	-0.0558809
6.86	-0.0435771
6.87	-0.00778403
6.88	-0.00797433
6.89	0.0302431
6.9	0.0526948
6.91	0.072918
6.92	0.104413
6.93	0.100856
6.94	0.124769
6.95	0.112369
6.96	0.0920744
6.97	0.0778558
6.98	0.0271023
6.99	0.016894
7	-0.013451
7.01	-0.0348286
7.02	-0.0303055
7.03	-0.0607215
7.04	-0.0494185
7.05	-0.0475962
7.06	-0.0496072
7.07	-0.0304007
7.08	-0.0459133
7.09	-0.0258532
7.1	-0.0241598
7.11	-0.0288599
7.12	-0.021092
7.13	-0.0529823
7.14	-0.0479351
7.15	-0.0571708
7.16	-0.0639864
7.17	-0.0506596
7.18	-0.0732374
7.19	-0.061813
7.2	-0.0754125
7.21	-0.0850732
7.22	-0.0747589
7.23	-0.0859632
7.24	-0.0700875
7.25	-0.0843362
7.26	-0.0922335
7.27	-0.0762975
7.28	-0.094452
7.29	-0.0779316
7.3	-0.0789259
7.31	-0.0752952
7.32	-0.0565386
7.33	-0.0658653
7.34	-0.0232802
7.35	-0.0122565
7.36	-0.0225451
7.37	-0.0226949
7.38	-0.0626219
7.39	-0.0770746
7.4	-0.106894
7.41	-0.118256
7.42	-0.101779
7.43	-0.112101
7.44	-0.0579218
7.45	0.0984236
7.46	0.455372
7.47	0.776672
7.48	0.714988
7.49	0.433005
7.5	0.140095
7.51	-0.0289333
7.52	-0.0772348
7.53	-0.112733
7.54	-0.103276
7.55	-0.112942
7.56	-0.106696
7.57	-0.0759802
7.58	-0.0847659
7.59	-0.0647206
7.6	-0.0693518
7.61	-0.0640793
7.62	-0.0364584
7.63	-0.0448225
7.64	-0.0145628
7.65	-0.00111504
7.66	0.0204801
7.67	0.0637589
7.68	0.067963
7.69	0.101297
7.7	0.100794
7.71	0.101763
7.72	0.120059
7.73	0.0940702
7.74	0.0910467
7.75	0.0527746
7.76	0.0127355
7.77	-0.00354285
7.78	-0.0396869
7.79	-0.0359564
7.8	-0.0492903
7.81	-0.0537658
7.82	-0.039349
7.83	-0.0586162
7.84	-0.0415837
7.85	-0.0353471
7.86	-0.0333694
7.87	-0.0223982
7.88	-0.0439759
7.89	-0.0301091
7.9	-0.0443865
7.91	-0.0563276
7.92	-0.0432333
7.93	-0.0627186
7.94	-0.0467545
7.95	-0.0604521
7.96	-0.0772502
7.97	-0.0686684
7.98	-0.0827538
7.99	-0.0670017
8	-0.0705083
8.01	-0.0715045
8.02	-0.0682954
8.03	-0.0999708
8.04	-0.0804597
8.05	-0.0861676
8.06	-0.0892669
8.07	-0.0716827
8.08	-0.0822636
8.09	-0.059744
8.1	-0.0602048
8.11	-0.0429225
8.12	-0.00409274
8.13	-0.0110539
8.14	-0.00716279
8.15	-0.0433293
8.16	-0.0780043
8.17	-0.0870411
8.18	-0.118022
8.19	-0.0991885
8.2	-0.0969783
8.21	-0.0817909
8.22	0.0220376
8.23	0.296721
8.24	0.678618
8.25	0.748742
8.26	0.502673
8.27	0.212243
8.28	-0.00083358
8.29	-0.0689518
8.3	-0.104176
8.31	-0.109925
8.32	-0.0951388
8.33	-0.117773
8.34	-0.0942906
8.35	-0.0851156
8.36	-0.0776397
8.37	-0.0614941
8.38	-0.0763044
8.39	-0.0495421
8.4	-0.0461596
8.41	-0.0343827
8.42	0.00501335
8.43	0.0155548
8.44	0.0564503
8.45	0.0711856
8.46	0.0914604
8.47	0.118593
8.48	0.105303
8.49	0.123282
8.5	0.112775
8.51	0.0949657
8.52	0.0861191
8.53	0.0399666
8.54	0.02811
8.55	-0.00458174
8.56	-0.0259051
8.57	-0.0253161
8.58	-0.0487445
8.59	-0.0299484
8.6	-0.0337265
8.61	-0.0345865
8.62	-0.0139312
8.63	-0.0271041
8.64	-0.0112127
8.65	-0.0204274
8.66	-0.0238136
8.67	-0.01106
8.68	-0.0373304
8.69	-0.0232998
8.7	-0.0326131
8.71	-0.0438889
8.72	-0.0388024
8.73	-0.0612019
8.74	-0.0506023
8.75	-0.0605827
8.76	-0.056095
8.77	-0.0432585
8.78	-0.0673794
8.79	-0.0556049
8.8	-0.0688186
8.81	-0.0718941
8.82	-0.050928
8.83	-0.0531275
8.84	-0.0241588
8.85	-0.023449
8.86	-0.00758725
8.87	0.0251603
8.88	0.00321829
8.89	-0.00209717
8.9	-0.0326328
8.91	-0.0556898
8.92	-0.0616151
8.93	-0.0914304
8.94	-0.0745602
8.95	-0.0734702
8.96	-0.026027
8.97	0.199334
8.98	0.579478
8.99	0.830262
9	0.674525
9.01	0.350521
9.02	0.115983
9.03	-0.023446
9.04	-0.0498917
